Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf
199798764,"Sakamoto Days, Vol. 12",Yuto Suzuki,"Suzuki, Yuto",,1974745899,9781974745890,4,VIZ Media LLC,Paperback,192.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#138), read-2025 (#32)",read,,,,1,0,False
176443812,"Sakamoto Days, Vol. 11",Yuto Suzuki,"Suzuki, Yuto",,1974743667,9781974743667,4,VIZ Media LLC,Paperback,200.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#137), read-2025 (#31)",read,,,,1,0,False
101159508,"Sakamoto Days, Vol. 10",Yuto Suzuki,"Suzuki, Yuto",,1974741133,9781974741137,4,VIZ Media LLC,Paperback,200.0,2023.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#136), read-2025 (#30)",read,,,,1,0,False
62919725,"Sakamoto Days, Vol. 9",Yuto Suzuki,"Suzuki, Yuto",,1974738965,9781974738960,3,VIZ Media LLC,Paperback,200.0,2023.0,2022.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#135), read-2025 (#29)",read,,,,1,0,False
228221108,"The Court of the Dead (The Nico di Angelo Adventures, #2)",Rick Riordan,"Riordan, Rick",Mark Oshiro,136810911,9781368109116,3,Disney Hyperion,Hardcover,448.0,2025.0,2025.0,2025/10/01,2025/09/24,read-2025,read-2025 (#28),read,,,,1,0,False
220161062,Changeover: A Young Rivalry and a New Era of Men's Tennis,Giri Nathan,"Nathan, Giri",,1668076241,9781668076248,4,Gallery Books,Hardcover,272.0,2025.0,,2025/09/06,2025/08/30,"nonfiction, read-2025","nonfiction (#12), read-2025 (#27)",read,,,,1,0,False
231677821,Better in Black,Cassandra Clare,"Clare, Cassandra",,1529532663,9781529532661,3,Walker Books,Hardcover,448.0,2025.0,2025.0,2025/08/27,2025/08/27,read-2025,read-2025 (#26),read,some stories are good but most are kind of unremarkable. much more plot-important than i thought! made me very excited for the wicked powers!!,,,1,0,False
52190991,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,"Rowell, Rainbow",,1250254337,9781250254337,4,Wednesday Books,Hardcover,579.0,2021.0,2021.0,2021/07/14,2021/07/06,read-2021,read-2021 (#80),read,,,,3,0,False
44017627,"Wayward Son (Simon Snow, #2)",Rainbow Rowell,"Rowell, Rainbow",,1250146070,9781250146076,4,Wednesday Books,Hardcover,356.0,2019.0,2019.0,2021/07/14,2021/07/06,read-2021,read-2021 (#79),read,,,,3,0,False
52380731,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,1487006993,9781487006990,4,Anansi International,Paperback,163.0,2020.0,2016.0,2025/08/01,2022/03/05,read-2025,read-2025 (#25),read,"so depressing, the horrors of women’s lives are so easily swept under the rug. this story pulls the rug back and shows the ugly parts of it, the injustice and how normalized all of it is, and even the most well meaning people are affected by a sick and misogynistic society. this book made me feel so much for kim jiyoung, she’s been through so much and it’s saddening how she’s just one of many.",,,1,0,False
32768522,"Carry On (Simon Snow, #1)",Rainbow Rowell,"Rowell, Rainbow",,1250135028,9781250135025,4,Wednesday Books,Paperback,528.0,2017.0,2015.0,2017/11/10,2018/11/22,,,read,,,,4,0,False
219824402,"Sorcery and Small Magics (The Wildersongs Trilogy, #1)",Maiga Doocy,"Doocy, Maiga",Ciaran Saward,,,4,Orbit,Audible Audio,12.0,2024.0,2024.0,2025/07/13,2025/07/04,read-2025,read-2025 (#24),read,"i loved this audiobook, the narrator did an outstanding job and brought so much to the experience, i listened to it for hours at work and while crocheting.<br/>the story is the definition of a cozy fantasy, while keeping you emotionally invested in the characters and the plot! it's no easy feat, this book feels like a warm blanket and at the same time breaks your heart. the world building is great and i love the characters so much, i can't wait to read more of their stories and see where maiga doocy takes the threads left by the first book. this was so fun!",,,1,0,False
